time,precipitation,discharge_spec
2010-01-01,0.0,2.47
2010-01-02,0.08,1.83
2010-01-03,0.0,1.58
2010-01-04,0.03,1.45
2010-01-05,15.56,1.38
2010-01-06,1.36,1.34
2010-01-07,0.06,1.24
2010-01-08,0.0,1.16
2010-01-09,0.04,1.1
2010-01-10,3.17,1.07
2010-01-11,0.2,1.05
2010-01-12,3.64,1.02
2010-01-13,1.2,1.01
2010-01-14,3.6,0.98
2010-01-15,7.72,1.17
2010-01-16,4.01,2.57
2010-01-17,0.05,3.74
2010-01-18,0.0,4.03
2010-01-19,2.38,2.81
2010-01-20,4.91,2.43
2010-01-21,6.68,2.43
2010-01-22,12.15,2.61
2010-01-23,0.01,3.28
2010-01-24,0.73,3.46
2010-01-25,0.04,2.67
2010-01-26,0.0,2.37
2010-01-27,0.22,2.18
2010-01-28,7.33,2.06
2010-01-29,0.2,2.18
2010-01-30,0.0,2.2
2010-01-31,0.16,1.85
2010-02-01,0.47,1.67
2010-02-02,1.3,1.59
2010-02-03,1.86,1.57
2010-02-04,2.1,1.52
2010-02-05,0.08,1.53
2010-02-06,0.21,1.43
2010-02-07,0.67,1.31
2010-02-08,0.53,1.23
2010-02-09,0.2,1.22
2010-02-10,0.24,1.15
2010-02-11,0.02,1.09
2010-02-12,0.25,1.04
2010-02-13,0.42,1.01
2010-02-14,0.03,0.99
2010-02-15,1.56,0.96
2010-02-16,1.49,0.95
2010-02-17,2.84,0.96
2010-02-18,7.19,1.09
2010-02-19,0.41,1.34
2010-02-20,1.51,1.24
2010-02-21,3.55,1.1
2010-02-22,1.24,1.2
2010-02-23,2.18,1.27
2010-02-24,1.67,1.26
2010-02-25,6.67,1.37
2010-02-26,7.05,1.59
2010-02-27,8.91,2.04
2010-02-28,0.71,2.47
2010-03-01,0.0,2.45
2010-03-02,0.0,1.97
2010-03-03,0.0,1.7
2010-03-04,0.0,1.57
2010-03-05,0.02,1.45
2010-03-06,0.0,1.38
2010-03-07,0.0,1.29
2010-03-08,0.0,1.23
2010-03-09,0.0,1.19
2010-03-10,0.0,1.13
2010-03-11,0.06,1.08
2010-03-12,1.26,1.06
2010-03-13,0.07,1.02
2010-03-14,0.0,0.97
2010-03-15,0.0,0.9
2010-03-16,0.0,0.88
2010-03-17,0.0,0.87
2010-03-18,1.17,0.85
2010-03-19,10.25,0.87
2010-03-20,3.21,1.04
2010-03-21,0.01,1.11
2010-03-22,2.56,0.97
2010-03-23,3.32,0.93
2010-03-24,13.71,1.08
2010-03-25,6.79,2.18
2010-03-26,2.24,2.65
2010-03-27,0.15,2.02
2010-03-28,1.8,1.58
2010-03-29,2.22,1.41
2010-03-30,3.25,1.42
2010-03-31,1.08,1.45
2010-04-01,4.23,1.39
2010-04-02,4.08,1.51
2010-04-03,7.6,1.8
2010-04-04,0.06,1.89
2010-04-05,0.0,1.67
2010-04-06,0.15,1.49
2010-04-07,0.03,1.4
2010-04-08,0.0,1.3
2010-04-09,0.0,1.23
2010-04-10,0.0,1.19
2010-04-11,0.0,1.14
2010-04-12,0.0,1.11
2010-04-13,0.0,1.07
2010-04-14,0.0,1.04
2010-04-15,0.0,0.99
2010-04-16,0.0,0.94
2010-04-17,0.0,0.93
2010-04-18,0.0,0.9
2010-04-19,0.0,0.87
2010-04-20,0.0,0.84
2010-04-21,0.0,0.81
2010-04-22,0.0,0.8
2010-04-23,0.0,0.77
2010-04-24,1.92,0.75
2010-04-25,0.19,0.74
2010-04-26,0.0,0.72
2010-04-27,0.0,0.69
2010-04-28,0.0,0.68
2010-04-29,3.28,0.67
2010-04-30,0.26,0.67
2010-05-01,27.59,0.69
2010-05-02,0.16,0.98
2010-05-03,0.37,1.16
2010-05-04,0.0,0.76
2010-05-05,0.34,0.68
2010-05-06,0.04,0.64
2010-05-07,1.01,0.61
2010-05-08,0.69,0.58
2010-05-09,0.0,0.57
2010-05-10,0.03,0.55
2010-05-11,0.0,0.53
2010-05-12,0.14,0.52
2010-05-13,0.0,0.51
2010-05-14,0.0,0.5
2010-05-15,0.04,0.49
2010-05-16,0.98,0.49
2010-05-17,0.0,0.47
2010-05-18,0.0,0.46
2010-05-19,0.0,0.44
2010-05-20,0.04,0.44
2010-05-21,0.01,0.42
2010-05-22,0.0,0.41
2010-05-23,0.0,0.41
2010-05-24,0.0,0.4
2010-05-25,0.0,0.39
2010-05-26,3.58,0.39
2010-05-27,0.0,0.39
